Country,Year,"Death rates per 100,000",GDP per capita,Population,Continent,,
Malawi,2015,167.8,1124,16745305,Africa,,
Malaysia,2000,65.8,13474.7,23194252,Asia,,
Malaysia,2005,67.8,15651.12,25690615,Asia,,
Malaysia,2010,57.4,18574.3,28208028,Asia,,
Malaysia,2015,53.5,22432,30270965,Asia,,
Mali,2000,205.4,1153.05,10946448,Africa,,
Mali,2005,180.6,1414.79,12775509,Africa,,
Mali,2010,177.6,1505,15049352,Africa,,
Mali,2015,175.4,1553,17438772,Africa,,
Malta,2000,32.4,20434.55,393649,Europe,,
Malta,2005,24.3,21905.22,404659,Europe,,
Malta,2010,24.7,23632.62,414257,Europe,,
Malta,2015,24.6,28700,433559,Europe,,
Mauritania,2000,215.2,1934.74,2630217,Africa,,
Mauritania,2005,177.6,2371.01,3024198,Africa,,
Mauritania,2010,161.4,2982.75,3494200,Africa,,
Mauritania,2015,157.9,3424,4046304,Africa,,
Mauritius,2000,80.1,14272.3,1185147,Africa,,
Mauritius,2005,61.5,14725.16,1222010,Africa,,
Mauritius,2010,40.8,16269.32,1247953,Africa,,
Mauritius,2015,39.2,18322,1259457,Africa,,
Mexico,2000,55.1,12613.4,98899845,North America,,
Mexico,2005,50.1,13655.8,106005199,North America,,
Mexico,2010,43.6,14697.3,114092961,North America,,
Mexico,2015,42.3,16096,121858251,North America,,
Moldova,2000,168.8,2989.53,4202659,Europe,,
Moldova,2005,125.5,4073.67,4159296,Europe,,
Moldova,2010,103,4615.32,4086090,Europe,,
Moldova,2015,75.6,5775,4070705,Europe,,
Mongolia,2000,253.8,2936.06,2397417,Asia,,
Mongolia,2005,235.3,4822.23,2526429,Asia,,
Mongolia,2010,196,7830.06,2719902,Asia,,
Mongolia,2015,161.8,12398,2998433,Asia,,
Montenegro,2000,118.3,6046.14,613558,Europe,,
Montenegro,2005,96.9,9002.22,616388,Europe,,
Montenegro,2010,90.8,14509.77,624279,Europe,,
Montenegro,2015,86.9,17249,626957,Europe,,
Morocco,2000,56.4,4753.64,28793672,Africa,,
Morocco,2005,49.9,5708.03,30455563,Africa,,
Morocco,2010,45.9,6931.56,32343384,Africa,,
Morocco,2015,46.6,8001,34663608,Africa,,
Mozambique,2000,203.6,1196.01,17711925,Africa,,
Mozambique,2005,190.5,1107.53,20493927,Africa,,
Mozambique,2010,192.1,956.53,23531567,Africa,,
Mozambique,2015,185.8,1103,27042001,Africa,,
Myanmar,2000,220,1843.49,46719698,Asia,,
Myanmar,2005,202.7,2947.1,48949931,Asia,,
